city_id,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
337,acapulco,16.8634,-99.8901,86.0,66,40,11.5,MX,1611956370
338,dingle,10.9995,122.6711,73.89,90,100,11.97,PH,1611956246
339,conceicao do almeida,-12.7794,-39.17,74.62,82,86,7.9,BR,1611956371
340,marystown,47.1666,-55.1483,27.19,93,93,19.57,CA,1611956371
341,nizhnyaya tavda,57.6731,66.1725,11.52,96,100,6.31,RU,1611956371
342,sao joao da barra,-21.6403,-41.0511,82.4,65,0,20.71,BR,1611956130
343,zhaotong,27.3167,103.7167,35.87,84,100,7.02,CN,1611956372
344,saint-augustin,51.226,-58.6502,15.85,91,0,12.48,CA,1611956326
345,marienburg,54.0359,19.0266,26.01,100,80,0.31,PL,1611956372
346,todos santos,23.45,-110.2167,72.0,70,49,4.0,MX,1611956372
347,ammon,43.4696,-111.9666,41.0,81,90,5.75,US,1611956150
348,saint-pierre,-21.3393,55.4781,78.8,65,0,5.75,RE,1611956373
349,casper,42.8666,-106.3131,50.0,32,1,29.93,US,1611956162
350,opuwo,-18.0607,13.84,71.1,61,97,5.32,NA,1611956373
351,ola,59.5833,151.2833,-17.7,80,11,11.65,RU,1611956373
352,avera,33.194,-82.5271,51.8,32,1,3.44,US,1611956224
353,medeiros neto,-17.3739,-40.2206,76.82,66,13,13.22,BR,1611956374
354,freeport,40.6576,-73.5832,26.6,36,1,14.97,US,1611956374
355,poya,-21.35,165.15,81.43,68,13,3.49,NC,1611956374
356,rehoboth,-23.3167,17.0833,79.63,38,59,11.56,NA,1611956374
357,mimongo,-1.6195,11.6068,70.34,93,100,2.28,GA,1611956375
358,powell river,49.8496,-124.5361,42.8,87,75,13.8,CA,1611956375
359,cairns,-16.9167,145.7667,78.01,94,75,6.91,AU,1611956375
360,tarko-sale,64.9225,77.785,-37.79,82,9,8.84,RU,1611956375
361,kupang,-10.1667,123.5833,75.2,100,75,5.75,ID,1611956288
362,melzo,45.5013,9.4253,42.8,81,0,4.61,IT,1611956376
363,shitanjing,39.2342,106.3439,22.42,76,0,11.72,CN,1611956264
364,omagh,54.6,-7.3,38.79,88,100,14.5,GB,1611956377
